status,session,expected_task,present_tasks,rounds_in_last_task,reason
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/high/startup_consulting_20250914_095001_pressure_HIGH_seed390185437_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/high/startup_consulting_20250914_103315_pressure_HIGH_seed960523766_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/high/startup_consulting_20250914_110847_pressure_HIGH_seed1524523844_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/high/startup_consulting_20250914_113306_pressure_HIGH_seed778347515_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",3,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/high/startup_consulting_20250914_122412_pressure_HIGH_seed2603264937_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/low/startup_consulting_20250914_094950_pressure_LOW_seed390185437_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/low/startup_consulting_20250914_101818_pressure_LOW_seed960523766_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/low/startup_consulting_20250914_104529_pressure_LOW_seed1524523844_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/low/startup_consulting_20250914_111052_pressure_LOW_seed778347515_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/low/startup_consulting_20250914_113623_pressure_LOW_seed2603264937_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/medium/startup_consulting_20250914_094954_pressure_MEDIUM_seed390185437_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/medium/startup_consulting_20250914_102259_pressure_MEDIUM_seed960523766_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/medium/startup_consulting_20250914_104408_pressure_MEDIUM_seed1524523844_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/medium/startup_consulting_20250914_110605_pressure_MEDIUM_seed778347515_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/medium/startup_consulting_20250914_113848_pressure_MEDIUM_seed2603264937_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/none/startup_consulting_20250914_094949_pressure_NONE_seed390185437_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/none/startup_consulting_20250914_101343_pressure_NONE_seed960523766_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/none/startup_consulting_20250914_105629_pressure_NONE_seed1524523844_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/none/startup_consulting_20250914_111411_pressure_NONE_seed778347515_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
OK,/Users/superposition/Desktop/Deception_local/DeceptioN/Results_new_models/deepseek_v3_1_control/pressure_level/none/startup_consulting_20250914_113326_pressure_NONE_seed2603264937_model_deepseek/deepseek-chat-v3.1,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",1,
